metodo,measurement,inicio,fim,duracao,qtde_rows_add
insert,humid,"22-09-28, 17:33:28","22-09-28, 17:34:03",0:00:34.955424,2000
insert,humid,"22-09-28, 17:34:34","22-09-28, 17:34:34",0:00:00.027798,3
